TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,YEAR
Miami_FL,ACC,0.696969696969697,111.5,95.1,.8620,49.2,47,19,20.6,35.1,34,39.2,35.4,45.7,43.7,37.9,35.6,67.7,1.6,2008
Arkansas,SEC,0.6571428571428571,110.8,94.5,.8611,51.9,48.4,21.8,21.2,37.6,31.9,37.9,35.6,52.3,47.4,34.1,33.5,68.6,0.5,2008
Florida,SEC,0.6666666666666666,115.3,98.9,.8542,55.3,50,18.6,19.8,35.6,30,31.2,29.1,55.7,49.5,36.3,34,66.5,-1.3,2008
Baylor,B12,0.6774193548387096,115.9,99.6,.8509,51.9,48.3,17.2,19.4,32,32.9,35.9,39.5,49.6,46.5,37.3,35.1,71.7,1.5,2008
Oregon,P10,0.5625,118.0,101.5,.8497,55.8,50.3,18.4,16.4,32,31,36.7,34.3,53.8,50.4,39.2,33.4,68,0.8,2008
Illinois,B10,0.45714285714285713,106.0,91.3,.8488,48.8,45.8,21.5,20.3,37,29.9,36.5,37.2,49.2,43.3,31.9,33.5,63.3,-4,2008
Syracuse,BE,0.6,111.8,96.6,.8436,52.7,49.2,21.8,20,39,32.6,42,29.5,53.3,46.8,34.1,35.4,71.9,-0.6,2008
UNLV,MWC,0.7941176470588235,108.8,94.0,.8434,48.6,46.3,16.2,21.6,29.1,32.3,33.3,32.4,47.8,47,33.2,30.1,66.2,2.2,2008
Saint_Mary_s,WCC,0.8064516129032258,107.4,93.0,.8392,52.4,44.8,18.9,20.9,35.5,31.4,39,30.7,51.6,44.1,35.8,31.3,68.4,1.2,2008
Villanova,BE,0.6285714285714286,107.9,93.5,.8380,49.1,51.1,20.5,23.6,36.2,31,38.9,46.4,47.8,48.6,34.4,36.5,69.4,0.3,2008
Oklahoma,B12,0.6571428571428571,107.4,93.3,.8352,50.1,47,19.7,20.2,33.4,30.2,38.7,30.3,49,46,34.8,32.6,65.1,2.8,2008
Western_Kentucky,SB,0.8529411764705882,109.6,95.6,.8283,53.6,47.2,20.2,24.9,36.7,33.4,36,48.8,51.1,46.2,39,32.9,69.6,0.2,2008
Saint_Joseph_s,A10,0.6176470588235294,113.8,99.3,.8274,54.6,50.6,19.3,21.5,32.5,34,39.7,33.3,52.8,47.7,38.6,37,65.4,-1.2,2008
Missouri,B12,0.5,111.3,97.2,.8270,50.7,48.8,17.7,23.1,31.5,34.9,30.8,42.9,51,49.8,33.4,30.9,72.5,-2.7,2008
Mississippi,SEC,0.6857142857142857,113.0,98.8,.8241,52,49.5,18.6,19.6,39.1,31.1,30,34.3,50.4,48.2,36.7,34.4,71.3,0.1,2008
Georgia_Tech,ACC,0.46875,113.2,99.0,.8235,52.9,51.2,21.1,22.4,34.1,35.5,38.3,48.7,51.5,51.5,37.2,33.8,70.5,-2.3,2008
Florida_St_,ACC,0.5588235294117647,107.3,93.9,.8218,50.4,49.3,21.9,22.6,33.5,33.8,35.9,34.6,49.2,48,35.2,34.6,67.5,-0.4,2008
Vanderbilt,SEC,0.7647058823529411,111.4,97.8,.8175,54.1,49.7,19.8,20.5,31,33.5,38.3,32,50.6,48.3,39.9,35,70.4,3.8,2008
Arizona_St_,P10,0.6176470588235294,108.3,95.1,.8166,53.7,48.4,20.2,21.6,28.5,32.2,40.1,32.1,54.1,45.3,35.5,35.1,62.6,0.8,2008
Maryland,ACC,0.5588235294117647,107.0,94.2,.8135,50.9,44.4,23.4,19.7,35,34.9,37.5,30.9,50.9,42.6,33.8,32.4,71.1,-2.2,2008
Massachusetts,A10,0.6944444444444444,109.2,96.1,.8124,51.4,47.6,17.7,19.9,31.7,33.9,38.6,37.9,49.9,46.1,35.6,34.1,76.2,-0.8,2008
Illinois_St_,MVC,0.7058823529411765,104.6,92.4,.8066,52.2,46.3,20,22.2,31.2,31.2,33.9,35.5,50.1,45.2,37.1,32.2,64.5,0.6,2008
Southern_Illinois,MVC,0.5454545454545454,104.1,91.9,.8064,48.4,49.2,22.2,24.6,33.4,28.7,40.7,48.8,47,47.3,34,34.7,62.8,-3.2,2008
Kent_St_,MAC,0.8,105.9,93.7,.8044,52.5,46.6,21.8,24.2,35.7,35.6,41.1,37.8,50.9,46,37.3,31.7,66.6,2.3,2008
Oklahoma_St_,B12,0.5,108.0,95.6,.8021,49.7,50.1,21.5,24.4,32.6,33.9,38.4,44.1,48.8,48.2,34.1,36.2,66.8,-1.5,2008
Minnesota,B10,0.5882352941176471,107.4,95.1,.8012,50.2,48.5,21.6,25.1,36,33.9,35,39.5,47.5,47.4,36.7,33.6,67.2,-1.1,2008
