TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,YEAR
Saint_Joseph_s,A10,0.5882352941176471,111.1,99.1,.7879,53.1,45.5,18.8,15.4,29.8,31.7,36.3,27.5,52.4,42.2,36.3,35,65,-1.7,2012
Washington,P12,0.6857142857142857,109.5,97.7,.7875,49.8,47.1,18.5,19.3,38.6,31.5,36.9,38.4,49.1,46.3,34.3,32.7,69.2,0.3,2012
Xavier,A10,0.6388888888888888,108.2,96.8,.7822,49.7,45.6,18.5,18.4,31.9,30.2,41.2,35.5,48.7,45.5,35.1,30.5,66.5,0.7,2012
BYU,WCC,0.7272727272727273,104.9,93.9,.7821,52,47.7,18.1,21.5,30,26.8,36.5,34.3,51.9,47.8,34.9,31.6,71.8,0.4,2012
Northwestern,B10,0.5757575757575758,115.9,103.7,.7814,53.5,51.5,16,20.1,26.3,36.9,33.8,29.1,50.2,50.6,38.5,35.5,62.4,0.1,2012
Davidson,SC,0.75,111.8,100.1,.7808,50.9,47.2,17.2,17.5,35,27,36.8,41.7,51.2,45.9,33.7,33.9,67.3,-0.3,2012
Seton_Hall,BE,0.6176470588235294,106.0,95.0,.7783,49.7,46.5,19,21.7,32.2,30.5,32.8,35.1,48,47,35.3,30.3,64.8,0.2,2012
South_Dakota_St_,Sum,0.7575757575757576,112.7,101.1,.7780,53.7,50,15.8,19.2,30.3,28.6,39.6,29.8,50.8,50.4,39,32.6,65.1,-0.4,2012
Mississippi_St_,SEC,0.6363636363636364,112.6,101.0,.7776,51.6,48.8,17.9,15.9,31.6,28.2,32.7,23.7,50.6,47.2,35.7,34.9,64.5,-0.5,2012
Colorado,P12,0.6470588235294118,105.0,94.6,.7687,49.5,46.9,19.6,18.4,29.2,28.8,43.2,32,48.3,45.3,34.6,33.1,64.9,-0.3,2012
Iona,MAAC,0.7575757575757576,114.7,103.7,.7620,56.5,51.1,17.4,22.2,32.1,32.3,30.3,28.8,55.7,50.1,38.7,35.4,70,0.2,2012
Arizona,P12,0.6571428571428571,106.8,96.6,.7611,51,44.9,19,18.1,30.6,30,44.5,32.7,47.6,45.8,37.8,28.5,64.3,0.3,2012
Dayton,A10,0.6060606060606061,112.7,101.9,.7604,50.7,50.1,19.7,19.5,36.3,31.1,33.4,37.3,50.2,50,34.3,33.5,64.2,-1.6,2012
San_Diego_St_,MWC,0.75,106.3,96.2,.7602,50.1,47,18.7,18.6,30.9,27,35.8,28.8,49.8,45.1,33.8,33.7,65.5,2.9,2012
Denver,SB,0.7096774193548387,110.3,99.8,.7596,57.3,48.4,19.5,23.6,23.5,32.6,35.2,40.6,55.5,46.2,39.8,36.3,60.2,-3,2012
Southern_Miss,CUSA,0.71875,111.3,100.7,.7592,46.2,50.5,16.4,21.2,36.5,28.2,39.8,40.7,43.1,49.2,35.5,35.6,63.6,1.3,2012
Massachusetts,A10,0.6756756756756757,106.8,96.6,.7588,49.6,46.2,19.8,22.2,34.5,34.3,33.4,38.3,48,46.2,34.9,30.7,72.8,-0.8,2012
Villanova,BE,0.40625,109.7,99.4,.7568,46.5,47.5,20.4,17.2,37.6,32,39.2,34.7,46.2,45.5,31.5,34,67.2,-5.2,2012
Wyoming,MWC,0.6129032258064516,101.8,92.6,.7485,51,46.7,18.9,22.3,23.5,26.3,38.4,37,51.6,46.8,33.3,31.1,59.7,-2.9,2012
Oregon_St_,P12,0.5714285714285714,110.9,101.1,.7446,52.6,51.5,19.4,22.7,33.8,33.4,43.9,38.1,52,48.6,35.9,38.9,70.4,-3.9,2012
Illinois,B10,0.53125,104.0,95.2,.7359,49.4,49.2,20.6,20.4,31.3,29.1,30.4,36.2,51.4,45.4,30.4,38,64.2,-1.2,2012
Mississippi,SEC,0.5882352941176471,105.7,96.7,.7342,47.2,46.8,21,19.7,35.8,32.4,42.5,33.4,47.1,43.5,31.6,35.1,65.4,-0.3,2012
Clemson,ACC,0.5161290322580645,105.2,96.3,.7334,48.3,48.7,19,22.8,33,30.3,31.4,30.2,48.3,46.3,32.1,36,62.9,-5.5,2012
Iowa,B10,0.5142857142857142,112.4,102.9,.7331,50.5,51.8,18.1,19.8,32.9,32.1,38.5,32.5,48.5,51.8,37.3,34.5,67.8,-2.7,2012
New_Mexico_St_,WAC,0.7058823529411765,107.8,98.8,.7317,51,48.3,20.8,20.4,40.6,29.7,51.9,32.8,51.6,48.1,32.8,32.5,69.8,-1.9,2012
Virginia_Tech,ACC,0.48484848484848486,107.0,98.3,.7253,47.7,46.1,18.7,19.8,33.2,33.9,33.3,35.7,44.5,48,36.5,28,62,-4.7,2012
Georgia_St_,CAA,0.6363636363636364,102.0,93.8,.7250,48,43.9,17.6,22.9,32.8,31.8,34.3,30.5,48.3,41.7,31.4,31.7,64.2,-5,2012
Washington_St_,P12,0.5,109.9,101.0,.7249,52.9,49.6,20.4,18.1,30.5,30.4,43.9,36.5,52,47.6,36.4,35.3,63,-6.6,2012
Oklahoma,B12,0.4838709677419355,106.3,97.9,.7187,47.3,49.5,18.9,20.3,36.2,31.1,31.1,32.2,45.8,48.6,35.2,34.1,66.1,-4,2012
Colorado_St_,MWC,0.625,111.4,102.8,.7165,53,50.3,19.6,18.4,28.7,29.4,42.3,39.5,50.1,48.5,40,35.5,63.5,-0.9,2012
Lehigh,Pat,0.7647058823529411,107.6,99.3,.7158,50.4,47.2,16.5,21.3,31.2,29.6,38,33.7,49.4,45.9,34.7,33.2,67.5,-1.1,2012
Northern_Iowa,MVC,0.5757575757575758,105.9,97.8,.7147,50.3,50.2,17.6,19.3,24.8,25.6,34.5,28.5,45.8,48.3,38.2,36,61.7,-2.6,2012
LSU,SEC,0.5454545454545454,101.7,94.0,.7119,45.1,46.9,19.4,21.8,34.6,31.3,29.9,37.2,43.6,46.4,32.6,31.9,65.1,-2.3,2012
Akron,MAC,0.6363636363636364,107.0,99.1,.7080,51.5,46.4,21,20.6,34.8,33.2,40,34,50.1,47.3,36.4,29.6,66.7,-1.7,2012
Marshall,CUSA,0.5882352941176471,109.1,101.1,.7050,48.1,49.2,19.6,18.4,40.5,29.9,37.9,40.5,49.3,49.9,30.4,31.7,64.9,-1.6,2012
Cleveland_St_,Horz,0.65625,104.4,96.9,.7021,50.6,46.8,21.8,25.1,34.7,33.8,27.3,50.9,48.6,46.7,36.4,31.4,63.8,-2.1,2012
Missouri_St_,MVC,0.4838709677419355,104.9,97.5,.6995,48.6,47.1,16.4,18.3,27.5,28,28.7,38.1,47.8,44.1,33.7,34.9,62.6,-5.9,2012
Illinois_St_,MVC,0.6,108.2,100.9,.6921,52,47.9,18.4,17.1,27.7,27.1,38.6,30.9,48.3,44.6,37.9,35.8,63.3,-3.7,2012
Mercer,ASun,0.7027027027027027,104.1,97.1,.6902,52.5,44.5,22.5,20.6,33,34.1,37.6,39.4,51,43.3,36.7,31,64.1,-3.8,2012
Richmond,A10,0.5,109.1,101.9,.6873,50.1,48.1,17.7,19.9,27.9,36.4,39.4,35.6,47.7,48,35.8,32.3,63,-5.3,2012
UCF,CUSA,0.6451612903225806,106.3,99.4,.6846,47.8,47.7,19.3,19.1,36.5,32.2,39.6,32.7,49.1,48.1,30.2,31.3,63,-0.8,2012
Tulsa,CUSA,0.5483870967741935,105.7,99.0,.6808,50.7,46.7,22.4,18.6,33.8,26.7,46.1,40.6,47.8,44.2,38.4,35.7,63.7,-5.4,2012
Old_Dominion,CAA,0.6111111111111112,101.6,95.1,.6806,45.5,46,20.7,22.7,39.5,29.8,36.8,39.5,44.4,45,32,31.8,64.8,-3.9,2012
Georgia,SEC,0.46875,104.2,97.6,.6788,45.3,47.8,16.7,18.7,30.5,31,30.3,41,44.5,46.8,31.2,33,61.6,-3.7,2012
Wagner,NEC,0.8064516129032258,104.5,98.1,.6745,49.9,45.1,19.4,25,35.5,34.2,39,48.2,47.9,44.6,36,30.9,67.2,-0.6,2012
Oral_Roberts,Sum,0.7941176470588235,110.2,103.6,.6708,53.5,52.3,19.8,21,35.1,28.7,41.8,32.4,53.3,51.2,35.9,36.6,63.3,1.2,2012
Princeton,Ivy,0.6,106.8,100.4,.6699,53.1,47.1,19.2,18.8,25.8,30.2,30.7,34.8,51.1,45.4,37.7,34.7,63,-3.9,2012
Bucknell,Pat,0.7058823529411765,105.7,99.5,.6679,51.3,46.3,18.5,16.4,29.8,22.8,38.3,35.4,48.9,43.3,38.4,34.4,63.3,-2.1,2012
Fairfield,MAAC,0.5945945945945946,100.6,94.6,.6675,50.6,45.8,22.3,24.1,34.2,33.4,32.7,37.7,50,43.6,34.6,34.4,63.8,-6.3,2012
Montana,BSky,0.7666666666666667,102.4,96.4,.6663,52.5,45.3,18.5,22.1,27.4,31.6,39.5,39,50.4,43.3,38.2,33.3,64.5,-1.5,2012
Oklahoma_St_,B12,0.4375,106.5,100.3,.6661,48,47.8,17.5,18.7,23.8,34,38.5,35.9,46.9,47.9,33.3,31.7,65.5,-3.8,2012
Maryland,ACC,0.53125,107.5,101.3,.6659,47.5,48,19.6,16.1,34.3,32,46.5,33.1,46.1,47.2,33.9,33.2,66,-2.9,2012
Buffalo,MAC,0.6333333333333333,106.5,100.3,.6647,52.5,45.6,22.1,16.6,34.7,29.1,37.7,32.5,52.5,42.8,35.1,33.8,67.7,-2.1,2012
UC_Santa_Barbara,BW,0.6206896551724138,110.6,104.6,.6545,52.1,46.4,18.1,16.8,36.1,32.6,33.8,34.3,49.5,43.5,38.1,34.4,63.4,-3.5,2012
Nevada,WAC,0.7941176470588235,105.3,99.7,.6533,51.3,46.8,20.7,18.7,34.6,29.9,44.1,28.4,49,45.3,37,33.1,64,0.3,2012
Butler,Horz,0.5833333333333334,98.8,93.6,.6508,45,46.7,20.2,21.5,34.6,27.7,40.7,44.5,47,46.6,27.2,31.3,64.3,-4.8,2012
Arkansas,SEC,0.5625,107.0,101.7,.6440,49,48.6,18.5,23.1,31.5,36.7,37.2,36.8,47.1,48.6,35.3,32.5,69.6,-3.6,2012
George_Mason,CAA,0.7272727272727273,103.3,98.2,.6416,50.7,44.5,22.2,20.9,33.9,32.9,40.9,37.6,51,42.6,33.2,32.2,66.9,-1.6,2012
Texas_A_M,B12,0.41935483870967744,100.8,95.9,.6408,47.6,46.4,20.9,19.1,30.8,28.7,29.4,38.7,47.2,46.1,32.4,31.3,61.8,-5.5,2012
Duquesne,A10,0.5,107.2,102.0,.6380,50.4,51.6,17.3,24.6,29.4,39.7,36.6,32.9,50.3,50.4,33.8,36,67.2,-4.6,2012
Valparaiso,Horz,0.6363636363636364,106.0,101.1,.6329,53.8,48.1,22,17.7,27.9,29.3,43.6,35.9,55.5,47.4,34.2,33.2,64.1,-3.7,2012
Evansville,MVC,0.4838709677419355,109.7,104.8,.6267,51,55.5,18.4,24.3,26.8,34.2,43,44.2,48.2,54.6,39.3,38,66.6,-5.6,2012
Providence,BE,0.46875,109.8,105.0,.6255,47.1,47.9,18.5,16.6,36.1,35.6,39.3,29.7,45.1,46.6,35.3,33.8,65.5,-4.9,2012
Detroit,Horz,0.5882352941176471,107.5,102.8,.6250,48,50.9,19.1,22.4,35.2,32.6,43.3,38.9,49.7,48.6,29.2,36.9,66.8,-5.1,2012
Utah_St_,WAC,0.5555555555555556,107.4,102.9,.6212,53,47,19.2,16.9,30.1,32.5,40.2,32.7,51.8,45.7,37.2,33.1,62.1,-8.3,2012
UT_Arlington,Slnd,0.71875,104.3,99.9,.6193,50.4,48,22.3,24.3,36.9,30.8,46.6,36,49.1,46.4,35.3,33.5,70.6,-2.5,2012
Weber_St_,BSky,0.7666666666666667,109.7,105.3,.6161,52.3,50,15.6,18.1,25.9,28.7,37.2,33.7,49.7,47,37.5,37.2,65.6,-0.9,2012
Rutgers,BE,0.4375,101.7,97.8,.6126,47.1,48.2,22.3,23.6,36.6,35.3,31.7,46.3,45.8,46.8,33.5,33.7,65.3,-5.8,2012
Milwaukee,Horz,0.5757575757575758,101.3,97.5,.6096,49.3,46.1,21.2,20.9,31.7,30.3,38.1,34.4,47.6,47.1,34.4,29.1,64.6,-4.7,2012
Auburn,SEC,0.4838709677419355,99.3,95.6,.6081,46.4,47,20.6,21.6,31.4,32.9,36.4,38,46.9,44.2,30.2,34.8,64.4,-5.1,2012
Vermont,AE,0.6666666666666666,103.9,100.1,.6058,49.3,45.5,19.4,19.7,34.3,30.6,37.3,33.3,48.6,44.6,34,31.7,62.2,-5.4,2012
UNC_Asheville,BSth,0.6774193548387096,108.8,104.8,.6054,52.6,51.3,19.2,22.2,32.9,35.2,48.1,36.3,52.8,50.7,35,34.9,68.2,-3.2,2012
Kent_St_,MAC,0.625,104.5,100.8,.6008,50.5,48.5,20.8,23.5,33.7,35.1,36,31.6,49.8,46.9,34.8,34.4,67,-3.9,2012
Lamar,Slnd,0.6363636363636364,106.0,102.4,.5989,46.2,46.9,17.5,20.1,37.6,30.5,41,34.2,45.3,45.4,33.1,34.1,66.2,-4.2,2012
East_Tennessee_St_,ASun,0.5333333333333333,101.6,98.2,.5984,47.8,52.1,20.4,25.7,36.4,35.2,39.3,35.1,48.2,50.8,30.8,35.8,64.4,-6.8,2012
Penn,Ivy,0.6060606060606061,103.4,99.9,.5968,51.2,48.5,19.6,22,26.8,32.3,29.6,42.2,48.4,47.1,37.4,34,62.2,-4,2012
Bowling_Green,MAC,0.4838709677419355,103.5,100.1,.5949,49.6,50.7,20.6,23,34.4,32.5,26.8,36.6,49.2,49.5,33.9,35.6,63.8,-7.2,2012
Loyola_MD,MAAC,0.7272727272727273,103.5,100.1,.5934,47.2,47.8,20.6,22,38.1,33.4,42.9,39.9,45.8,45.4,33.9,36.1,63.5,-1.4,2012
Indiana_St_,MVC,0.53125,101.3,98.2,.5900,47.8,48.5,18.9,18.6,26.2,27.1,37.9,32.7,45.7,45.8,34.4,36.3,64,-4.2,2012
Robert_Morris,NEC,0.7027027027027027,104.6,101.4,.5893,47.7,49.6,21.1,23.8,40.2,30.9,42.7,47.7,45.1,47.6,35.2,35.2,62.8,-2.7,2012
Penn_St_,B10,0.375,101.8,98.7,.5879,44.9,51.7,19.2,21.5,34.4,27.9,31.8,45.3,44,47.4,31.1,38.2,63.4,-6.1,2012
DePaul,BE,0.3870967741935484,108.9,105.7,.5847,49.5,52.5,18.5,21.7,31.4,38.8,26.4,40.9,49.2,52.3,33.5,35.4,71.6,-8,2012
UAB,CUSA,0.4838709677419355,100.6,97.7,.5825,47.7,46.6,22.8,18.8,34.8,31.3,36.3,29.6,45.7,44.1,34.4,34.8,61.2,-5.7,2012
St__John_s,BE,0.40625,104.7,101.9,.5752,45.6,50.2,19.6,21.5,34.4,39.3,39.5,28.7,46.7,49.9,28.2,33.9,66.3,-6.1,2012
USC_Upstate,ASun,0.59375,102.1,99.6,.5710,48.5,50.8,21.6,23.5,39.4,32.5,34.6,42.7,47.4,50.7,34,34,66.8,-4.8,2012
East_Carolina,CUSA,0.4074074074074074,103.5,101.0,.5705,49.3,50,20.3,21.6,29.9,32.2,35.3,38.1,47.3,50.2,34.8,32.9,65,-8.5,2012
Manhattan,MAAC,0.6176470588235294,102.0,99.6,.5684,50.3,46.7,23.3,22.9,36.5,32.2,40.2,42.4,48.1,45,36.1,33.2,67.3,-5.9,2012
Oakland,Sum,0.5428571428571428,113.6,111.0,.5646,53.1,55.8,16.7,18.5,30.4,30.1,41.9,31.4,50.4,53.8,37.8,39.8,70.1,-7.3,2012
Drake,MVC,0.5151515151515151,99.9,97.7,.5640,49.6,47.9,19.1,19.8,24.8,28,41.3,43.3,47.4,48.8,36.1,30.6,65.7,-5.1,2012
Loyola_Marymount,WCC,0.59375,101.5,99.3,.5639,48,47.2,19.8,20.5,31.4,33.8,37.6,33.4,45.9,48.2,35,30.3,66.3,-4.1,2012
Charlotte,A10,0.43333333333333335,100.4,98.2,.5619,46.9,48.9,20.2,20.9,30,30.5,39,34.2,45.8,48.1,32.5,33.5,67.5,-7,2012
UTEP,CUSA,0.46875,100.9,98.9,.5558,50.3,47.7,21.1,19.1,28,31.3,39,34.9,50,46.6,34,33.3,61.4,-7.5,2012
American,Pat,0.625,101.9,100.1,.5509,49.3,46.3,17.5,17.4,26.7,30.5,33.8,32.7,44.1,46.1,39.4,31,61.7,-5.1,2012
Quinnipiac,NEC,0.5625,103.8,102.0,.5500,46.2,46.6,18.5,18.4,42.4,27.9,38.2,41.5,45.2,43.8,33.3,34.9,65.6,-7.5,2012
Rice,CUSA,0.5,100.5,98.9,.5487,49,48,19.4,19.4,26.2,27.9,38.5,37.3,48.2,44.5,33.9,36.9,67.7,-7.2,2012
Boise_St_,MWC,0.41379310344827586,104.8,103.2,.5456,49,53,18.6,19.6,32,25.4,36,39.2,47.4,50.3,34.2,38.3,64.7,-7.7,2012
San_Francisco,WCC,0.5625,108.3,106.7,.5435,52.9,54.2,18.5,21.8,28.7,27.6,38.4,32.3,52.9,51.9,35.3,38.9,67.9,-5.7,2012
TCU,MWC,0.53125,106.9,105.3,.5429,49.4,54.1,19.4,21.5,30.1,30.1,38.5,41.3,46.9,53,35.8,37.8,68,-5,2012
College_of_Charleston,SC,0.6129032258064516,102.2,100.7,.5420,49.5,47.2,19.1,20.8,29.9,35.5,38.6,25.7,48.8,46.8,33.8,32,66.7,-5.8,2012
Nebraska,B10,0.4,102.1,100.7,.5407,49,52.5,21.2,19.9,27.5,28.8,28.7,33.2,49.3,51,32.4,36.6,61.5,-5,2012
Stephen_F__Austin,Slnd,0.5714285714285714,97.1,95.8,.5386,47.8,46.8,22.1,22.8,35.1,25.2,39,37.4,49.7,44.5,27.9,34.3,58.7,-7.5,2012
LIU_Brooklyn,NEC,0.7352941176470589,109.3,107.9,.5352,53.2,49.4,21.4,18.4,34.1,34.3,49.7,22,52.1,49.5,37.1,32.8,73.1,-2.4,2012
South_Carolina,SEC,0.3225806451612903,103.2,102.1,.5300,46.2,51,20.4,22.7,36.1,37.6,26.7,40.4,44.6,48,32.6,37.9,61.5,-8.9,2012
Stony_Brook,AE,0.6774193548387096,102.6,101.6,.5291,47.7,49.6,19.6,21.4,39.2,25.6,31.4,27.9,47,47.1,32.6,35.7,61.3,-4.4,2012
Delaware,CAA,0.5625,103.8,103.0,.5232,47.5,43.9,18.8,15.6,28.8,33.4,43.4,32.3,47.8,42,31.1,32.4,67,-6.1,2012
Savannah_St_,MEAC,0.6129032258064516,95.7,95.2,.5148,46.5,46.7,23,23.9,38,29.7,38.8,45.4,45.3,47.9,32.7,28.7,62.7,-5.6,2012
Idaho,WAC,0.5483870967741935,105.9,105.6,.5092,53.5,49.1,20.4,16.6,31.9,31.9,41.5,31.1,51.1,47.6,39,34.7,62.2,-6.7,2012
Youngstown_St_,Horz,0.4827586206896552,105.9,105.6,.5083,50.7,49.2,17.5,19.4,27.9,35.1,30.5,32.4,46.7,46.7,37.7,36.3,64.3,-8.5,2012
North_Dakota_St_,Sum,0.5333333333333333,106.4,106.2,.5050,54.3,49.1,18.6,18.3,27.5,28.8,39.2,41.7,53.8,46.5,36.8,36.8,65.8,-7.6,2012
Houston,CUSA,0.4827586206896552,106.1,106.0,.5026,50.8,49,21.5,17.3,35.4,33.7,32.9,29.5,50.2,47,35.1,35.7,66.4,-8.5,2012
Cal_Poly,BW,0.5161290322580645,104.6,104.7,.4972,48.9,49.3,18,18.8,36.2,26.3,29,44.8,46.9,49.2,35,33,59,-9.3,2012
Georgia_Tech,ACC,0.3548387096774194,98.0,98.2,.4962,47.5,46.4,22.8,17.7,33.5,29.1,28.7,33.8,47.9,43.3,31.2,34.7,62.7,-9.3,2012
Yale,Ivy,0.6296296296296297,100.0,100.2,.4951,47.5,47.3,21.3,18.8,32.5,28.4,42.7,33,46.4,46.2,33.2,33.3,66,-3,2012
Little_Rock,SB,0.4666666666666667,98.4,98.7,.4906,44.7,48.2,18.9,21.7,27.5,31.4,40.9,45.4,42.4,46.8,33.3,33.7,64.1,-8.6,2012
Cal_St__Fullerton,BW,0.6551724137931034,108.1,108.6,.4850,54.1,50.9,21.8,19.1,36,30.5,39.2,38.6,50.1,48.2,40.4,37.8,68.3,-4.5,2012
North_Texas,SB,0.5172413793103449,99.6,100.1,.4837,47,46.6,20.8,20.7,33.7,30.5,34.4,34.6,46.4,45.7,32.4,32.4,67.7,-8,2012
Western_Michigan,MAC,0.3939393939393939,105.1,105.7,.4822,49.1,48.7,21.7,15.9,35.6,30.7,40.9,34.9,48.2,47.7,33.8,33.6,65.3,-10.8,2012
Miami_OH,MAC,0.27586206896551724,102.8,104.1,.4649,50.7,50.6,21.7,18.9,26.9,32.3,31.3,36,48.5,49.9,35.8,34.9,59.7,-12.1,2012
Western_Illinois,Sum,0.5161290322580645,96.9,98.2,.4616,51,50.8,18.9,21.2,23.3,27.5,33.3,32.9,47.6,49.5,40,35.5,57.8,-7.4,2012
UTSA,Slnd,0.5333333333333333,103.1,104.6,.4572,51.5,49.9,20.2,22.5,28.1,33.5,37.1,34.4,47.2,50.3,39.1,32.9,67,-8.5,2012
Toledo,MAC,0.5,104.0,105.6,.4564,50.6,49.6,20.7,21.2,31.6,36.8,39.1,31.3,48.5,49.1,36.7,33.6,65.6,-10.7,2012
Louisiana_Tech,WAC,0.5,101.7,103.4,.4547,48.4,49.3,18.6,21.4,30,34,31.5,42.4,47.6,49.3,33.1,32.9,66.9,-9,2012
George_Washington,A10,0.3225806451612903,101.2,103.0,.4511,46.2,50.6,20.6,21.4,35.8,35.5,28.5,36.3,45.4,48,32.6,37.8,62.8,-9.5,2012
Green_Bay,Horz,0.4642857142857143,100.9,102.7,.4492,47.1,48.4,22.3,19.4,33.5,32.5,32.3,34.3,44.5,45.3,35.7,37.3,65.9,-6.8,2012
Wake_Forest,ACC,0.41935483870967744,103.1,105.1,.4449,47.9,50.2,19.1,18.2,25.8,33.6,40.9,30.8,46.9,48.6,33.3,35.5,66.1,-8.1,2012
Fresno_St_,WAC,0.3548387096774194,100.5,102.5,.4444,46,50.4,16.5,21.9,29.1,34.6,36.1,45.7,45.5,51,31.4,32.7,61.9,-12.4,2012
Tulane,CUSA,0.4482758620689655,98.9,100.9,.4439,47.3,47.9,19.8,21.9,30.4,29.4,40.4,35.6,45.9,47.2,33.4,32.9,64.4,-9.4,2012
Columbia,Ivy,0.4642857142857143,102.1,104.2,.4415,48.8,47.9,19.6,19,28.6,26.9,32.2,36.3,45.9,45,36.3,36.7,62.3,-9.1,2012
Tennessee_St_,OVC,0.5806451612903226,99.6,101.7,.4407,49.1,51.4,21.8,22.9,32.8,30.9,40.9,37.3,48,49.8,34.3,36,65.2,-5,2012
Norfolk_St_,MEAC,0.7352941176470589,100.0,102.1,.4401,49.4,46.4,21,19.5,33.7,33,42.5,37.3,50.4,46.1,31.5,31.3,66.7,-2.7,2012
North_Florida,ASun,0.4838709677419355,102.4,104.6,.4380,51.5,50,22.9,20,33.6,34.6,37.2,36,50.5,49.1,35.8,34.8,65.5,-6.7,2012
Western_Kentucky,SB,0.45714285714285713,97.8,100.0,.4375,44.4,47.4,22.1,21.1,34.1,32.4,40.2,38.9,43.7,46.9,30.6,32.5,67.8,-10.2,2012
Air_Force,MWC,0.4074074074074074,99.5,101.7,.4364,51.1,48.4,20.6,21.5,19.8,31.5,39.4,38.2,51.8,48.4,33.3,32.3,61.2,-7.6,2012
Northeastern,CAA,0.45161290322580644,100.3,102.7,.4327,48.2,49.2,24.1,22.1,34.1,34.5,37.9,40.2,46.3,49.1,34.8,33.1,63.6,-8.3,2012
St__Francis_NY,NEC,0.5,97.5,100.0,.4272,50.2,48.1,23,21.2,32.6,29.4,35,46,48.2,49.2,35.6,30.3,67.9,-10.3,2012
IUPUI,Sum,0.4,107.7,110.5,.4267,49,53.1,17.7,19.8,34,35,35.1,38.7,47.4,52.6,35.2,36.3,65.5,-11,2012
San_Diego,WCC,0.3793103448275862,102.4,105.1,.4264,50.9,51.9,19.9,20.8,25.7,33.5,35.2,36.1,48.8,49.6,36.6,37.8,65.3,-10.9,2012
Coastal_Carolina,BSth,0.5555555555555556,102.4,105.2,.4241,51.5,47,20.5,17,34.1,31.5,31.4,33.7,51.7,43.6,33.8,35.7,63.9,-7.1,2012
Florida_Atlantic,SB,0.3448275862068966,101.3,104.0,.4239,46.7,48.3,18.5,21,32.7,34.8,28.9,43.2,44.9,46.4,33.3,36.3,63.7,-10.6,2012
Charleston_Southern,BSth,0.5714285714285714,103.0,105.9,.4222,50.5,53.1,18.6,22.4,33.1,30.7,35.3,34.5,47.4,52.3,37.2,36.4,69.3,-6.4,2012
Ball_St_,MAC,0.4827586206896552,100.4,103.2,.4222,48.4,47.8,20.9,22,33.6,33,39.7,33.3,47.4,44.4,33.3,35.9,62,-9.7,2012
Louisiana_Lafayette,SB,0.4838709677419355,94.1,96.9,.4175,47.2,45.2,23,19.4,32.8,31,42.6,40.5,46.7,42.9,32.3,34.1,68.7,-8.5,2012
Florida_Gulf_Coast,ASun,0.45161290322580644,104.2,107.3,.4166,52.3,50.3,21.5,20.6,33.8,36.2,34.2,38.5,50.1,48,37.3,36,66.4,-9.2,2012
Albany,AE,0.5588235294117647,108.2,111.5,.4161,51.1,52.3,19.1,19.7,35.1,32.4,36.7,28,49.1,50.5,36.4,37.2,65,-8.6,2012
Tennessee_Tech,OVC,0.5483870967741935,102.2,105.3,.4147,50.8,51,22,21.4,33.9,32.1,42.8,38,49.6,49.1,36,36.8,67.5,-6.8,2012
SMU,CUSA,0.36666666666666664,96.9,99.9,.4138,49.4,50.3,20.8,23.1,24.2,33,35.8,36.8,48.4,52,33.7,32,59.3,-11.3,2012
Wofford,SC,0.5483870967741935,101.5,104.7,.4127,49.6,49.3,18.4,17.4,31.6,27.4,27.9,32.5,49.5,48.1,33.2,34.5,60.9,-7.5,2012
Boston_University,AE,0.5,98.4,101.5,.4124,48.1,47.3,21,20.1,32.1,32.2,34,31.5,48.3,46.2,31.9,32.8,63.6,-9.1,2012
Arkansas_St_,SB,0.3939393939393939,102.6,105.9,.4091,47.8,51.2,21.3,20,34.1,30.7,41.2,27.8,44.6,47.8,37.7,39.7,61.9,-11,2012
Rhode_Island,A10,0.22580645161290322,103.2,106.7,.4053,44.5,53.6,20.9,19,39,31.4,34.3,35.7,45.7,53.8,27.8,35.5,66.7,-14.1,2012
Portland_St_,BSky,0.5,107.1,110.9,.4018,53.1,51.4,20.2,16,32.4,31.5,45.2,30.1,53.2,51.2,35.2,34.5,66.1,-9,2012
Holy_Cross,Pat,0.5,98.8,102.4,.3984,47.5,48,20.6,17.3,29.4,30.4,32.4,31.1,46.3,49.1,33.5,30.7,65.6,-8.8,2012
Jacksonville_St_,OVC,0.43333333333333335,98.5,102.1,.3972,45.8,47.6,19.8,22.8,33.6,32.8,40.5,49.9,48.5,47.5,26.4,31.9,63.3,-11.7,2012
Central_Connecticut,NEC,0.4482758620689655,99.8,103.5,.3956,47.8,51,20.9,24.4,33.3,36.6,32.4,33.7,46.1,50,34.4,35.3,66.9,-9.8,2012
Seattle,ind,0.4,99.0,102.8,.3953,48.5,49.9,19.9,20.1,33.7,29.6,25.7,44.3,48.2,47.8,32.6,35.8,74.1,-10.2,2012
Hofstra,CAA,0.3125,99.2,103.1,.3909,44.9,51.4,20.6,23,33.5,31.7,43.1,39.6,43,50.9,33.3,35,65.5,-14.4,2012
Cornell,Ivy,0.4074074074074074,97.4,101.5,.3840,47.3,48,19.6,22.3,25.3,31.6,32,41.5,45.1,48.7,33.7,31.3,67.8,-8.7,2012
Hawaii,WAC,0.4666666666666667,103.0,107.5,.3795,50.5,48.9,21.4,17.4,34.1,34.1,43.5,35.6,50.8,47.4,33,34.6,69.6,-9.5,2012
