YEAR,ROUND,A_SEED,A_TEAM,B_SEED,B_TEAM
2019,1,1,Duke,16,North Dakota State
2019,1,9,Central Florida,8,Virginia Commonwealth
2019,1,12,Liberty,5,Mississippi State
2019,1,4,Virginia Tech,13,St. Louis
2019,1,6,Maryland,11,Belmont
2019,1,3,LSU,14,Yale
2019,1,10,Minnesota,7,Louisville
2019,1,2,Michigan State,15,Bradley
2019,1,1,Gonzaga,16,Fairleigh Dickinson
2019,1,9,Baylor,8,Syracuse
2019,1,12,Murray St.,5,Marquette
2019,1,4,Florida State,13,Vermont
2019,1,6,Buffalo,11,Arizona State
2019,1,3,Texas Tech,14,Northern Kentucky
2019,1,10,Florida,7,Nevada
2019,1,2,Michigan,15,Montana
2019,1,1,Virginia,16,Gardner-Webb
2019,1,9,Oklahoma,8,Mississippi
2019,1,12,Oregon,5,Wisconsin
2019,1,13,UC Irvine,4,Kansas State
2019,1,6,Villanova,11,St. Mary's (Cal.)
2019,1,3,Purdue,14,Old Dominion
2019,1,10,Iowa,7,Cincinnati
2019,1,2,Tennessee,15,Colgate
2019,1,1,North Carolina,16,Iona
2019,1,9,Washington,8,Utah State
2019,1,5,Auburn,12,New Mexico State
2019,1,4,Kansas,13,Northeastern
2019,1,11,Ohio State,6,Iowa State
2019,1,3,Houston,14,Georgia State
2019,1,7,Wofford,10,Seton Hall
2019,1,2,Kentucky,15,Abilene Christian
